datetime,symbol,open,high,low,close,volume
2024-01-02 00:00:00,TVC:US10Y,3.913,3.916,3.881,3.881,0.0
2024-01-02 02:00:00,TVC:US10Y,3.866,3.866,3.866,3.866,0.0
2024-01-02 07:00:00,TVC:US10Y,3.928,3.933,3.916,3.933,0.0
2024-01-02 08:00:00,TVC:US10Y,3.933,3.948,3.929,3.943,0.0
2024-01-02 09:00:00,TVC:US10Y,3.943,3.944,3.929,3.939,0.0
2024-01-02 10:00:00,TVC:US10Y,3.937,3.954,3.929,3.929,0.0
2024-01-02 11:00:00,TVC:US10Y,3.929,3.954,3.926,3.954,0.0
2024-01-02 12:00:00,TVC:US10Y,3.956,3.963,3.95,3.952,0.0
2024-01-02 13:00:00,TVC:US10Y,3.952,3.973,3.95,3.971,0.0
2024-01-02 14:00:00,TVC:US10Y,3.963,3.963,3.922,3.922,0.0
2024-01-02 15:00:00,TVC:US10Y,3.92,3.948,3.92,3.944,0.0
2024-01-02 16:00:00,TVC:US10Y,3.943,3.948,3.922,3.933,0.0
2024-01-02 17:00:00,TVC:US10Y,3.933,3.948,3.933,3.946,0.0
2024-01-02 18:00:00,TVC:US10Y,3.948,3.952,3.937,3.952,0.0
2024-01-02 19:00:00,TVC:US10Y,3.952,3.952,3.933,3.944,0.0
2024-01-02 20:00:00,TVC:US10Y,3.944,3.946,3.937,3.937,0.0
2024-01-02 21:00:00,TVC:US10Y,3.937,3.944,3.929,3.935,0.0
2024-01-02 22:00:00,TVC:US10Y,3.933,3.933,3.933,3.933,0.0
2024-01-03 06:00:00,TVC:US10Y,3.946,3.946,3.946,3.946,0.0
2024-01-03 07:00:00,TVC:US10Y,3.944,3.967,3.935,3.963,0.0
2024-01-03 08:00:00,TVC:US10Y,3.959,3.986,3.957,3.986,0.0
2024-01-03 09:00:00,TVC:US10Y,3.982,3.989,3.972,3.974,0.0
2024-01-03 10:00:00,TVC:US10Y,3.974,3.98,3.969,3.969,0.0
2024-01-03 11:00:00,TVC:US10Y,3.971,3.978,3.967,3.976,0.0
2024-01-03 12:00:00,TVC:US10Y,3.974,3.982,3.963,3.976,0.0
2024-01-03 13:00:00,TVC:US10Y,3.978,3.984,3.967,3.982,0.0
2024-01-03 14:00:00,TVC:US10Y,3.978,4.008,3.972,3.984,0.0
